"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"Mettl16",0.03125,0.028056112,0.027777778,0.024539877,0.018811881,0.020057307,0.071428571,0.018518519,0.012121212,0,0,0.01242236,0,0.010752688,0.009615385,0,0,0.003773585,0,0.013392857,0.076923077,0,0.003636364,0.039735099,0.010169492,0,0.027322404,0,0.010869565
"Mettl17",0.03125,0.034068136,0.055555556,0.012269939,0.008910891,0.008595989,0,0.046296296,0,0.01242236,0,0.01242236,0,0.005376344,0.009615385,0.013986014,0.027027027,0,0.033333333,0.013392857,0,0,0.029090909,0.006622517,0.006779661,0.016129032,0.016393443,0.005988024,0.010869565
"Mettl18",0.03125,0.004008016,0,0,0.003960396,0.007163324,0,0.009259259,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0.007272727,0,0.003389831,0,0,0,0
"Mettl2",0.03125,0.012024048,0,0.006134969,0.012376238,0.010028653,0,0,0.006060606,0.00621118,0,0,0.033333333,0.005376344,0.019230769,0.013986014,0,0.003773585,0,0.026785714,0,0,0.003636364,0.013245033,0.003389831,0.032258065,0.016393443,0,0.019565217
"Mettl21a",0,0.01002004,0,0.006134969,0.007425743,0.00286533,0,0.009259259,0.006060606,0.00621118,0,0.00621118,0,0.016129032,0,0.013986014,0,0,0,0.017857143,0,0,0.007272727,0,0.003389831,0,0.021857923,0,0.002173913
"Mettl22",0,0.008016032,0,0.024539877,0.005445545,0.007163324,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0.004464286,0,0,0.007272727,0.006622517,0.006779661,0.016129032,0.005464481,0.005988024,0.006521739
"Mettl24",0,0,0,0,0.00049505,0,0,0,0,0,0,0.00621118,0,0,0.019230769,0.006993007,0.013513514,0,0,0.004464286,0,0.014285714,0,0,0.003389831,0,0.043715847,0.035928144,0.002173913
"Mettl25",0,0.002004008,0,0.012269939,0.005445545,0.007163324,0,0.009259259,0.006060606,0,0,0,0,0.005376344,0,0.013986014,0.013513514,0,0,0.004464286,0.076923077,0,0.003636364,0,0,0,0.016393443,0,0.002173913
"Mettl26",0.09375,0.016032064,0,0.067484663,0.109405941,0.020057307,0,0.194444444,0.163636364,0.00621118,0,0.00621118,0.066666667,0.037634409,0.048076923,0.020979021,0.040540541,0.011320755,0.033333333,0.013392857,0,0,0.036363636,0.059602649,0.013559322,0.048387097,0.043715847,0.02994012,0.023913043
"Mettl3",0.03125,0.014028056,0.027777778,0.018404908,0.011386139,0.011461318,0,0.018518519,0,0,0,0.00621118,0,0.021505376,0.019230769,0.006993007,0.013513514,0.003773585,0,0.004464286,0.153846154,0,0.007272727,0.026490066,0.020338983,0,0.038251366,0.035928144,0.006521739
